Row,Name,Environment,ArmorRating,Availability,Capacity,Cost,Description,Features,Source,SpecialRules,Wireless
219,Clothing,Universal,0,-,0,"20¥ -100,000¥","Clothing in 2075 comes with amazing features you’ll likely completely take for granted. Commlinks, music players, and other electronic devices can be woven right into the fabric, powered by interwoven batter ies or special energy-gather ing fabrics. On the other side of the economy, cheap soybased “flats” can be had for five nuyen per ar ticle of clothing from vending machines around the Sprawl. The more money you spend on your threads, the more impressive you look.",,Core,,
220,"Electrochromic Modification",Universal,-,2,-,+500¥,"Electrochromic threads can change color with voltage, letting you alter the color of your clothing or display text, images, or patterns. This is good for fashion, but great for vanishing into a crowd if you need a quick costume change. You can even get armored clothing in electrochromic styles. It takes a Simple Action to change the settings on your electrochromic clothes, but a couple of Combat Turns to complete the change.",,Core,,"Changing your clothes’ settings is a Free Action, and while it’s not good enough to be camouflage, it can display images, text files, or flat video from your commlink."
221,"Feedback Clothing",Universal,-,8,-,+500¥,"This haptic clothing allows for a tactile component to an augmented reality experience.",,Core,,
222,(Synth)Leather,Universal,4,-,4,+200¥,"Usually made of synthleather unless you’ve got mad nuyen, this type of jacket (waist-length to duster) never goes out of style and even offers a modicum of protection. Just don’t expect it to stop bullets.",,Core,,
223,"Armante Suit",Universal,8,10,4,"2,500¥","This year’s line is heavily influenced by the worldwide outcry of support for Aztlan against the eco-terrorist forces of Amazonia. Neo-Aztec influences define the styles of Armanté this season. This isn’t surprising to those of us who keep our ears open to the shadows, as Aztechnology was a major supporter for Vitorrio Armanté’s shadow war with Zoé to recover the rights to the line name back in ’73.","Increase Social Limit by 2",SR5:R&G,,"+1 dice pool bonus to Social Tests"
224,"Armante Dress",Universal,8,10,4,"2,500¥","This year’s line is heavily influenced by the worldwide outcry of support for Aztlan against the eco-terrorist forces of Amazonia. Neo-Aztec influences define the styles of Armanté this season. This isn’t surprising to those of us who keep our ears open to the shadows, as Aztechnology was a major supporter for Vitorrio Armanté’s shadow war with Zoé to recover the rights to the line name back in ’73.","Increase Social Limit by 2",SR5:R&G,,"+1 dice pool bonus to Social Tests"
225,"Mortimer of London, Berwick Suit",Universal,9,9,5,"2,600¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
226,"Mortimer of London, Berwick Dress",Universal,8,8,4,"2,300¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
227,"Mortimer of London, Crimson Sky Suit",Universal,8,6,5,"2,400¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
228,"Mortimer of London, Summit Suit",Universal,8,7,6,"2,500¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
229,"Mortimer of London, Summit Dress",Universal,7,7,5,"2,200¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
230,"Mortimer of London, Greatcoat Coat",Universal,10/+3,8,10,"3,000¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
231,"Mortimer of London, Ulysses Coat",Universal,10/+3,8,12,"3,100¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
232,"Mortimer of London, Argentum Coat",Universal,12/+4,10,14,"3,600¥","Not exactly fashion-forward, but classic enough to always stay near the height of fashion. Mortimer has stuck with the classics, anchored around the venerable Berwick line. All pieces are custom tailored and fit, and I especially love that they include custom tailoring to fit “exceptional physical aspects” of their individual customers. Original pieces have to be sat for with a Mortimer certified tailor. I have a pretty solid stock of “lightly worn” Mortimer from some of his past lines. They lack the custom-cut features, but they can still have the important effect of making you look classier than you really are. The Crimson Sky and Summit lines from back in the early ’60s have aged quite well. And though they lack some of the wireless perks of many modern armors, they still stop bullets.","Custom Fit (Stack), increase Social Limit by 1, –3 modifier for Concealability",SR5:R&G,,"+1 dice pool bonus to Social Tests"
233,"Vashon Island, Ace of Cups",Universal,9,6,8,"1,600¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Increase Social Limit by 1",SR5:R&G,,"+1 dice pool bonus to Social Tests"
234,"Vashon Island, Ace of Swords",Universal,7,6,8,"1,300¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Holster (Scabbard)",SR5:R&G,,"+1 dice pool bonus to Social Tests"
235,"Vashon Island, Ace of Wands",Universal,6,6,8,"1,200¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Gear Access",SR5:R&G,,"+1 dice pool bonus to Social Tests"
236,"Vashon Island, Ace of Coins",Universal,7,4,10,"2,100¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Increase Social Limit by 3",SR5:R&G,,"+1 dice pool bonus to Social Tests"
237,"Vashon Island, Ace of Spades",Universal,7,6,6,"1,000¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.",Holster,SR5:R&G,,"+1 dice pool bonus to Social Tests"
238,"Vashon Island, Ace of Clubs",Universal,7,6,6,"1,000¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.",Holster,SR5:R&G,,"+1 dice pool bonus to Social Tests"
239,"Vashon Island, Ace of Hearts",Universal,7,6,6,"1,000¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.",Holster,SR5:R&G,,"+1 dice pool bonus to Social Tests"
240,"Vashon Island, Ace of Diamonds",Universal,8,8,6,"1,400¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Concealability +2",SR5:R&G,,"+1 dice pool bonus to Social Tests"
241,"Vashon Island, Steampunk",Universal,10,7,14,"2,250¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Custom Fit",SR5:R&G,,"Increase Social Limit by 1"
242,"Vashon Island, Synergist Business Line",Universal,9,8,5,"1,500¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Custom Fit, Holster (concealed)",SR5:R&G,,"Increase Social Limit by 1"
243,"Vashon Island, Synergist Business Line Longcoat",Universal,"10 / +3",8,6,"2,300¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Custom Fit (Stack), Holster",SR5:R&G,,"Increase Social Limit by 1"
244,"Vashon Island, Sleeping Tiger",Universal,13,10,10,"13,500¥","Can’t resist throwing on the little tag line just so we remember who’s in charge of this line. A few years back these lines were hot, but they’ve been adding feature after feature since then so that the things are getting pretty unwieldy. The rather unoriginal Aces High line added the Ace of Cups (high-collar floor-length coat with back shoulder flaring and flowing-but-layered lower half), Ace of Swords (WWII Japanese pilot style, complete with wakizashi scabbard built into the back), Ace of Wands (new-age wizard styling with lots of little pockets for reagents), and Ace of Coins (black juggernaut hide with platinum thread stitching and solid gold accents) this year and have been having quite a resurgence of both the new and old lines. And before you say anything, yes, I know there are no aces in tarot decks. Vashon Island doesn’t care. Vashon is still pushing the Steampunk line, as well as the old stand-by Synergist Business tag, along with the dime- (well, maybe a little more) a-dozen Actioneer line of suits. With the Shiawase connection, they have brought back the Sleeping Tiger with a vengeance. Each line has its own set of highlights that can draw a different audience.","Custom Fit, Holster, Newest Model, Ruthenium Polymer Coating (Rating 3)",SR5:R&G,,"Increase Social Limit by 1 and as Ruthenium Polymer Coating, p. 85"
245,"Executive Suite",Universal,12,12,4,"2,000¥","The line’s name pretty much says it all. These suits are usually found on the ultra-secure upper floors of megacorporate headquarters. They’re slick and smooth, and outside of the improvements they’ve had added from Zoé’s armor tech advancements, they haven’t changed much in the past decade.","Custom Fit, Newest Model, increase Social Limit by 1",SR5:R&G,,"Increase Social Limit by 2"
246,Heritage,Universal,4/6/8/10/12,16,"Armor ÷ 2","2,000¥ +(Armor Rating x 500)","Some days I just can’t believe this line exists; the fact that it gets bigger every year is even more mind-boggling. Back at the turn of the decade they had less than twenty designs for public consumption. Since, that number has more than doubled, with the fiftieth Heritage release, Cara Fahd, being made public earlier this year, after a year of orxploitation advertising around the world. Sadly, I don’t have a lot of these in my Lightly Worn stock. The people who buy these tend to keep them.","Custom Fit, Newest Model, increase Social Limit by 2",SR5:R&G,,
247,Nightshade/Moonsilver,Universal,7,10,2,"8,500¥","The NightShade line picked up where the Moonsilver line left off, then moved forward with the advertising slogan, “For a killer night, wear NightShade!” Where Moonsilver only offered glowing dresses for the ladies, NightShade has designs for both men and women. They were quite popular with the black tie crowd last season and don’t appear to be fading with this year’s events. Every piece comes with the additional shawl, which happens to be made out of spidersilk ballistic cloth.","Custom Fit, increase Social Limit by 1",SR5:R&G,,"Illuminating (+1,500¥ for IR and contacts)"
248,"Second Skin",Universal,6/+2,14,2,"12,000¥","This is a sexy, sick, twisted version of body armor. Each piece of the Second Skin line is custom tailored for the user, which means that a shift in weight of as little as one or two kilos will make the armor lose its most amazing benefit. That benefit is the fact that it is, for all intents and purposes, invisible. The full body unitard is almost undetectable and includes a completely integrated ruthenium olymer system, which allows the wearer to change any or all aspects of the suit’s appearance.","Custom Fit (Stack), Newest Model, Ruthenium Polymer Coating 4",SR5:R&G,,
249,"Globetrotter Jacket",Universal,12,10,10,"1,300¥","Marketed to outdoorsy types, the various incarnations of this armor line come in a variety of camouflage patterns and environmentally adapted package suites. From the heat of the Sahara to the frigid plains of Antarctica, this line provides protection from not only bullets and blades but also trials of temperature and humidity.","Custom Protection (4), Holster",SR5:R&G,,"+1 dice pool bonus to Survival Tests in Custom Protection terrain."
250,"Globetrotter Vest",Universal,9,7,10,900¥,"Marketed to outdoorsy types, the various incarnations of this armor line come in a variety of camouflage patterns and environmentally adapted package suites. From the heat of the Sahara to the frigid plains of Antarctica, this line provides protection from not only bullets and blades but also trials of temperature and humidity.","Custom Protection (3)",SR5:R&G,,"+1 dice pool bonus to Survival Tests in Custom Protection terrain."
251,"Globetrotter Clothing",Universal,7,6,10,600¥,"Marketed to outdoorsy types, the various incarnations of this armor line come in a variety of camouflage patterns and environmentally adapted package suites. From the heat of the Sahara to the frigid plains of Antarctica, this line provides protection from not only bullets and blades but also trials of temperature and humidity.","Custom Protection (2), Gear Access",SR5:R&G,,"+1 dice pool bonus to Survival Tests in Custom Protection terrain."
252,"Wild Hunt",Universal,12,12,10,"3,000¥","Marketed to outdoorsy types, the various incarnations of this armor line come in a variety of camouflage patterns and environmentally adapted package suites. From the heat of the Sahara to the frigid plains of Antarctica, this line provides protection from not only bullets and blades but also trials of temperature and humidity.","Custom Protection (6), Holster, Gear Access",SR5:R&G,,"+1 dice pool bonus to Survival Tests in Custom Protection terrain."
253,Industrious,Universal,9,6,6,"1,100¥","I always thought of this as infiltration camouflage. This clothing can help you look like you belong in a facility while also allowing you to wear a degree of protection. My Lightly Worn selection of this line is full of strippeddown versions from various corps and governments that just need some patches and the right equipment to fit the pockets.","Increase Social Limit by 1 (when wearing clothing suited to a particular corporate environment), Gear Access",SR5:R&G,,"+1 dice pool bonus to Social Tests when worn within the appropriate corp."
254,"Big Game Hunter",Universal,14,12,12,"5,000¥","A new line last year, this stuff is like the heavy-armor version of the Globetrotter line. It’s not a subtle line, that’s for sure, but if you need to stay protected from everything in a spot where everything wants to kill you, this is the line for you.","Custom Fit, Custom Protection (6), Holster, Gear Access",SR5:R&G,,"+1 dice pool bonus to Survival Tests (when in terrain addressed with Custom Protection)."
255,"Rapid Transit",Universal,9,10,6,400+¥,"Built for those on the move, this stuff is great for comfort and protection while going about all your regular day-to-day activities. This is by far one of my best-selling lines. While I focus primary sales in the basic line, I offer RT Elite, RT Platinum, and RT Diamond on occasion in the Lightly Worn section.","Increase Social Limit (Elite +1, +600¥; Platinum +2, +1,100¥; Diamond +3, +2,400¥)",SR5:R&G,,
256,"Actioneer Business Clothes",Universal,8,8,8,"1,500¥","A discreetly armored “power suit” is a popular choice among Mr. Johnsons, faces, and fixers looking for a little high-class protection coupled with style. It features a concealable holster (Firearm Accessories, p. 431) in the jacket.",,Core,,
257,"Armor Clothing",Universal,6,2,6,450¥,"Lightweight ballistic fiber weave makes these garments almost impossible to detect as armor. It doesn’t provide as much protection as real armor, but it’s available in a wide variety of styles.",,Core,,
258,"Armor Jacket",Universal,12,2,12,"1,000¥","The most popular armor solution on the streets comes in all styles imaginable. It offers good protection without catching too much attention. But don’t think of wearing one to a dinner party.",,Core,,
259,"Armor Vest",Universal,9,4,9,500¥,"This modern flexible-wrap vest is designed to be worn under regular clothing without displaying any bulk. A popular and cost-effective option.",,Core,,
260,"Chameleon Suit",Universal,9,10R,9,"1,700¥","This full-body suit has a smart ruthenium polymer coating supported by a sensor suite; the technology allows it to scan its surroundings and replicate the images at the proper perspectives. Add 2 to your limit when you make Sneaking tests to hide. A chameleon suit is also armored for the wearer’s protection.",,Core,,"The suit uses the extra information about your surroundings and also gives you a +2 dice pool bonus to Sneaking Tests for hiding."
261,"Full Body Armor",Universal,15,14R,15,"2,000¥","Impossible to conceal, this armor is worn by military and security personnel around the world for heavy ops duty. It is styled for intimidation as well as ease of movement, with a full array of tactical holsters, pouches, and webbing, and is certain to draw attention. The suit can be modified for environmental adaptation (hot or cold environments) or chemically sealed to completely protect the wearer from toxic environments and attacks. The suit’s helmet has a Capacity of 6 for the purpose of being equipped with vision or audio enhancements.",,Core,,
262,"Full Body Armor, Helmet",Universal,3,-,3,+500¥,,,Core,,
263,"Full Body Armor, Chemical Seal",Universal,-,6,-,"+6,000¥",,,Core,,
264,"Full Body Armor, Environmental Adaptation",Universal,-,3,-,"+1,000¥",,,Core,,
265,"Lined Coat",Universal,9,4,9,900¥,"This Wild West style duster has been consistently popular on the mean streets of the world’s sprawls for the past thirty years. Besides its protective traits, the armored trenchcoat provides an additional –2 Concealability modifier to items hidden underneath.",,Core,,
266,"Urban Explorer Jumpsuit",Universal,9,8,9,650¥,"Designed for couriers, athletes, and freerunners, these colorful jumpsuits are well ventilated and breathable but surprisingly protective with lightweight densiplast and liquid reactive armor. Urban explorer jumpsuits feature a built-in music player and biomonitor.",,Core,,
267,"Urban Explorer Jumpsuit, Helmet",Universal,2,-,2,+100¥,,,Core,,
268,Helmet,Universal,2,2,2,100¥,"Helmets come in a wide variety of shapes and sizes and protect your noggin from trauma. Helmets have Capacity 6 for being tricked out with accessories like trode nets and vision enhancements.",,Core,,
