Row,Name,Environment,ArmorRating,Availability,Capacity,Cost,Description,Features,Source,SpecialRules,Wireless
269,"Ballistic Shield",Universal,6,12R,6,"1,200¥","This large opaque shield is used by SWAT teams and in urban combat. It features a clear plastic window and a built-in ladder frame along the inside so that it can be used to climb over small obstacles.",,Core,,
270,"Riot Shield",Universal,6,10R,6,"1,000¥","As an added crowd control measure, a riot shield can be used to shock anyone who comes into contact with it, inflicting Electricity damage. The taser shield holds 10 charges; when attached to a power point, it regains one charge per 10 seconds.",,Core,,"The riot shield recharges by induction, recharging one charge per hour."
271,"Form-Fitting Body Armor",Universal,8,8,3,"1,300¥","While armored clothing is effective enough, and armored vests are fairly well hidden, it takes truly advanced craftsmanship to produce form-fitting body armor. Each suit is tailor-made to its wearer, leaving neither gaps nor folds while still allowing the body to breathe. The basic piece of armor is a shirt, covering the body from collarbone to groin, protecting the vital organs, while the full suit adds protection for the limbs. In either case, the hands, feet, and head are left exposed, as covering them gives away the fact that armor is being worn. Form-fitting body armor can be worn under armor, but doing so won’t change your protection much. The primary benefit of FFBA is its highly concealable.","Custom Fit, Concealability (–6)",SR5:R&G,,
272,"Hardened Mil-Spec Battle Armor, Light",Universal,15,16F,15,"15,000¥","Cutting-edge military hardware, military-grade armor continues to advance in a life-and-death race with weapons and ammunition. Beyond even security-grade armor, military-grade armor is simply too expensive and maintenance-heavy for common use or even routine security work. Aside from the most intense of fast-response teams, it resides only in elite military units deployed when absolutely necessary. Each suit protects from head to toe, custom-fit to the wearer for maximum ergonomic freedom and comfort, an expense that keeps it from the ordinary field grunt. Suits come in a wide variety of exterior design and color, but most modern suits opt for modern electro-chromatic covering for best camo; notable exceptions to this are the silver-plate armors worn by the High Prince of Tír Tairngire’s royal guard and the brilliant crimson of Renraku’s Red Samurai. In each case, the ancient aesthetic is mere decoration; never forget that the armor beneath it is a fully modern design.","Custom Fit, Holster, Gear Access, Increase Social Limit by 2 for Intimidation Tests, Restrictive",SR5:R&G,"Hardened mil-spec battle armor is fully enclosed and may thus take modifications that require this. It is treated as having the Hardened Armor critter power. No additional armor may be worn with military-grade battle armor (unless paid for by Essence) aside from the helmet listed below.",
273,"Hardened Mil-Spec Battle Armor, Medium",Universal,18,18F,18,"20,000¥","Cutting-edge military hardware, military-grade armor continues to advance in a life-and-death race with weapons and ammunition. Beyond even security-grade armor, military-grade armor is simply too expensive and maintenance-heavy for common use or even routine security work. Aside from the most intense of fast-response teams, it resides only in elite military units deployed when absolutely necessary. Each suit protects from head to toe, custom-fit to the wearer for maximum ergonomic freedom and comfort, an expense that keeps it from the ordinary field grunt. Suits come in a wide variety of exterior design and color, but most modern suits opt for modern electro-chromatic covering for best camo; notable exceptions to this are the silver-plate armors worn by the High Prince of Tír Tairngire’s royal guard and the brilliant crimson of Renraku’s Red Samurai. In each case, the ancient aesthetic is mere decoration; never forget that the armor beneath it is a fully modern design.","Custom Fit, Holster, Gear Access, Increase Social Limit by 2 for Intimidation Tests, Restrictive",SR5:R&G,"Hardened mil-spec battle armor is fully enclosed and may thus take modifications that require this. It is treated as having the Hardened Armor critter power. No additional armor may be worn with military-grade battle armor (unless paid for by Essence) aside from the helmet listed below.",
274,"Hardened Mil-Spec Battle Armor, Heavy",Universal,20,22F,20,"25,000¥","Cutting-edge military hardware, military-grade armor continues to advance in a life-and-death race with weapons and ammunition. Beyond even security-grade armor, military-grade armor is simply too expensive and maintenance-heavy for common use or even routine security work. Aside from the most intense of fast-response teams, it resides only in elite military units deployed when absolutely necessary. Each suit protects from head to toe, custom-fit to the wearer for maximum ergonomic freedom and comfort, an expense that keeps it from the ordinary field grunt. Suits come in a wide variety of exterior design and color, but most modern suits opt for modern electro-chromatic covering for best camo; notable exceptions to this are the silver-plate armors worn by the High Prince of Tír Tairngire’s royal guard and the brilliant crimson of Renraku’s Red Samurai. In each case, the ancient aesthetic is mere decoration; never forget that the armor beneath it is a fully modern design.","Custom Fit, Holster, Gear Access, Increase Social Limit by 2 for Intimidation Tests, Restrictive",SR5:R&G,"Hardened mil-spec battle armor is fully enclosed and may thus take modifications that require this. It is treated as having the Hardened Armor critter power. No additional armor may be worn with military-grade battle armor (unless paid for by Essence) aside from the helmet listed below.",
275,"Hardened Mil-Spec Battle Armor, Helmet",Universal,3,8F,8,"10,000¥","Cutting-edge military hardware, military-grade armor continues to advance in a life-and-death race with weapons and ammunition. Beyond even security-grade armor, military-grade armor is simply too expensive and maintenance-heavy for common use or even routine security work. Aside from the most intense of fast-response teams, it resides only in elite military units deployed when absolutely necessary. Each suit protects from head to toe, custom-fit to the wearer for maximum ergonomic freedom and comfort, an expense that keeps it from the ordinary field grunt. Suits come in a wide variety of exterior design and color, but most modern suits opt for modern electro-chromatic covering for best camo; notable exceptions to this are the silver-plate armors worn by the High Prince of Tír Tairngire’s royal guard and the brilliant crimson of Renraku’s Red Samurai. In each case, the ancient aesthetic is mere decoration; never forget that the armor beneath it is a fully modern design.","Custom Fit, Holster, Gear Access, Increase Social Limit by 2 for Intimidation Tests, Restrictive",SR5:R&G,"Hardened mil-spec battle armor is fully enclosed and may thus take modifications that require this. It is treated as having the Hardened Armor critter power. No additional armor may be worn with military-grade battle armor (unless paid for by Essence) aside from the helmet listed below.",
276,"Security Armor, Light",Universal,15,14R,12,"8,000¥","Not as heavily armored, or accessory friendly, as their mil-spec big brothers, these are the toughest suits you’ll usually see at a standard corp site. That’s also the only place you’ll probably see them. The armor is designed for protection, not mobility, and walking around in this for much more than a standard patrol puts a strain on most folks.","Custom Fit, Holster, Gear Access, Restrictive, Increase Social Limit by 1 for Intimidation Tests",SR5:R&G,,
277,"Security Armor, Medium",Universal,18,16R,14,"14,000¥","Not as heavily armored, or accessory friendly, as their mil-spec big brothers, these are the toughest suits you’ll usually see at a standard corp site. That’s also the only place you’ll probably see them. The armor is designed for protection, not mobility, and walking around in this for much more than a standard patrol puts a strain on most folks.","Custom Fit, Holster, Gear Access, Restrictive, Increase Social Limit by 1 for Intimidation Tests",SR5:R&G,,
278,"Security Armor, Heavy",Universal,20,18R,16,"20,000¥","Not as heavily armored, or accessory friendly, as their mil-spec big brothers, these are the toughest suits you’ll usually see at a standard corp site. That’s also the only place you’ll probably see them. The armor is designed for protection, not mobility, and walking around in this for much more than a standard patrol puts a strain on most folks.","Custom Fit, Holster, Gear Access, Restrictive, Increase Social Limit by 1 for Intimidation Tests",SR5:R&G,,
279,"Security Armor, Helmet",Universal,3,8R,5,"5,000¥","Not as heavily armored, or accessory friendly, as their mil-spec big brothers, these are the toughest suits you’ll usually see at a standard corp site. That’s also the only place you’ll probably see them. The armor is designed for protection, not mobility, and walking around in this for much more than a standard patrol puts a strain on most folks.","Custom Fit, Holster, Gear Access, Restrictive, Increase Social Limit by 1 for Intimidation Tests",SR5:R&G,,
280,"Bike Racing Armor",Universal,8,6,8,500¥,"I’ll just call this for what it is, go-gang chic. This stuff comes in a variety of customizable colors with and without cycle brand logos or combat biker team slogans. It’s some of the most obvious armor out there but it seems perfectly normal to anyone who may have seen or heard you arrive on your bike. So people will notice that you’re wearing it, but it won’t automatically make them suspect you’re up to something.",,SR5:R&G,,
281,"Bike Racing Helmet",Universal,2,6,6,200¥,"I’ll just call this for what it is, go-gang chic. This stuff comes in a variety of customizable colors with and without cycle brand logos or combat biker team slogans. It’s some of the most obvious armor out there but it seems perfectly normal to anyone who may have seen or heard you arrive on your bike. So people will notice that you’re wearing it, but it won’t automatically make them suspect you’re up to something.",,SR5:R&G,,
282,"Bunker Gear",Universal,6,6,6,"3,000¥","I carry this, but honestly I can’t think of more than a handful of times where this was purchased for illicit purposes. Firefighters wear it when they run into burning buildings, which is not a place where you normally would find a shadowrunner.","Increase Social Limit by 2 in emergency situations, Fire Resistance 8, Restrictive",SR5:R&G,,"+1 dice pool bonus to Social Tests to calm or pacify an individual at the site of an emergency."
283,"Bunker Gear Helmet",Universal,2,6,3,750¥,"I carry this, but honestly I can’t think of more than a handful of times where this was purchased for illicit purposes. Firefighters wear it when they run into burning buildings, which is not a place where you normally would find a shadowrunner.",,SR5:R&G,,
284,"Riot Control Armor",Universal,14,10R,8,"5,000¥","Built for intimidation as much as protection, this stuff has a lot of useless fluff surrounding the ballistic plating. Good for blending into a mob or inciting a riot, but not much else in the world of shadowrunning.","Padded, Increase Social Limit by 1 for Intimidation Tests, Restrictive",SR5:R&G,,"Increase Social Limit by 2 for Intimidation Tests"
285,"Riot Control Helmet",Universal,2,6R,6,"1,000¥","Built for intimidation as much as protection, this stuff has a lot of useless fluff surrounding the ballistic plating. Good for blending into a mob or inciting a riot, but not much else in the world of shadowrunning.",,SR5:R&G,,
286,"Swat Armor",Universal,15,16R,15,"8,000¥","Very few organizations refer to quick-response teams as SWAT anymore, but the armor has kept the name. This specialized suit is designed with job versatility in mind. Pockets, holsters, and various clasps keep everything the highly trained officer needs close at hand and easy to access. The electronics suite in these suits is also ideally suited for monitored small-team operations. This stuff is, like most of its relatives in the tactical gear category, not often seen in public places, except those experiencing a hostage situation or other event that calls the badasses in this armor out of their heavily armored truck and straight into your hoop.","Gear Access, Increase Social Limit by 2 for Intimidation Tests and reduce it by 1 for all other Social Tests with the general public",SR5:R&G,,"Increase Social Limit by 3 for Intimidation Tests"
287,"Swat Helmet",Universal,3,10R,8,"1,500¥","Very few organizations refer to quick-response teams as SWAT anymore, but the armor has kept the name. This specialized suit is designed with job versatility in mind. Pockets, holsters, and various clasps keep everything the highly trained officer needs close at hand and easy to access. The electronics suite in these suits is also ideally suited for monitored small-team operations. This stuff is, like most of its relatives in the tactical gear category, not often seen in public places, except those experiencing a hostage situation or other event that calls the badasses in this armor out of their heavily armored truck and straight into your hoop.",,SR5:R&G,,
288,"Securetech PPP Arms Kit",Universal,1,6,1,250¥,"Not a suit in itself, this innovative little AAS, or Armor Augmentation System, is hot for those who like to be able to add a little extra protection to almost anything. Arm, Leg, and Vitals kits are each sold separately, and they augment the protective measures already in place on those areas. The pieces are designed to be taken on and off quickly and worn over existing clothing.","Decrease Social Limit by 1; Arms and Legs kits cannot be combined with any full-body armor; Vitals kit cannot be combined with full-body armor, armor vest, or armor jacket.",SR5:R&G,,
289,"Securetech PPP Legs Kit",Universal,1,6,1,300¥,"Not a suit in itself, this innovative little AAS, or Armor Augmentation System, is hot for those who like to be able to add a little extra protection to almost anything. Arm, Leg, and Vitals kits are each sold separately, and they augment the protective measures already in place on those areas. The pieces are designed to be taken on and off quickly and worn over existing clothing.","Decrease Social Limit by 1; Arms and Legs kits cannot be combined with any full-body armor; Vitals kit cannot be combined with full-body armor, armor vest, or armor jacket.",SR5:R&G,,
290,"Securetech PPP Vitals Kit",Universal,1,6,1,350¥,"Not a suit in itself, this innovative little AAS, or Armor Augmentation System, is hot for those who like to be able to add a little extra protection to almost anything. Arm, Leg, and Vitals kits are each sold separately, and they augment the protective measures already in place on those areas. The pieces are designed to be taken on and off quickly and worn over existing clothing.","Decrease Social Limit by 1; Arms and Legs kits cannot be combined with any full-body armor; Vitals kit cannot be combined with full-body armor, armor vest, or armor jacket.",SR5:R&G,,
291,"Body Armor Bag",Universal,8,8,4,750¥,"I sell this little multipurpose wonder, but honestly I’m not sure why. I guess you can fill it with your favorite guns, get on site, dump it out, and then wear it to protect you. It’s a strange piece, but I sell a lot of them, so you guys have apparently figured out some uses for them.","Decrease Social Limit by 1 when worn, Concealability (–6), Restrictive",SR5:R&G,,
292,"Chain Mail",Universal,8,8,2,900¥,"I have a contact who makes this stuff, but it’s always a custom job. I send any pieces that come my way back to him to be stripped and reused. I’m not sure what functional purpose anyone wears it for, but I do get the occasional order. I guess if you want to look like a street fighter, this would fill the bill.","Custom Fit, increase Social Limit by 1 when dealing with gang members, decrease Social Limit by 1 when dealing with the general public.",SR5:R&G,,
293,"Padded Leather",Universal,7,8,2,600¥,"Same as Chain Mail. Special orders only, and I offer a discount for orders more than eight pieces.","Custom Fit, Padded, increase Social Limit by 1 when dealing with gang members, decrease Social Limit by 1 when dealing with the general public.",SR5:R&G,,
294,"Ares FlaShield",Universal,6,12R,4,"4,000¥","I was excited when I saw the Ares FlaShield hit the market. It’s a standard riot shield with the added bonus of a flashpak built onto the front. Defense and offense in one intimidating package!","Flashpak (10 charges; recharges 1 charge every 10 seconds when connected to a power source. Requires a Complex Action to activate).",SR5:R&G,,"Setting off the Flashpak is a Simple Action."
295,"Murder Armor",Universal,13,12R,4,"5,000¥",,"Biomonitor, Custom Fit, Holster",SR5:R&G,"Characters shot while wearing Murder Armor may use an Interrupt Action (–5 Initiative Score) to play dead with an opposed Charisma + Performance [Social] vs. Intuition + Perception [Mental] Test. Use of this armor imposes a –4 dice pool penalty on the observer. Success means the observer ignores the character assuming they are down, and so they get no Defense Test against the character’s next attack. Gorepak replacement requires a Logic + Armorer [Mental] (4, 1 hour) Extended Test.",
296,Gorepak,Universal,-,8R,-,200¥,"This is true specialty armor, designed to protect and deceive. It’s got the latest and greatest in Hollywood prac tical special effects (yeah, some people still do those) built in so that every decent shot that hits you is made to look like a killshot. This stuff takes some serious grit and a decent bit of acting skill if you really want to fool anyone, but offers a unique chance to turn the tables on an enemy. The mess cleans up easily with warm water, and the gorepak can be replaced fairly easily.",,SR5:R&G,,
297,"Forearm Guards",Universal,1,6,3,300¥,"Simple and rarely stylish, forearm guards are dermaplast (or, rarely, metallic) bracers fitted to a wearer. Their use is simple—use them to block melee attacks, especially blades, turning blows away without actually cutting into you.",,SR5:R&G,,
298,"Ballistic Mask",Universal,2,6,8,150¥,"By far my best seller, especially the basic model. They come in a variety of custom moldings and paint jobs to get almost any look imaginable, but matte black classic sells the best. They have limits when they’re basic models to keep them functional, but once electronic vision systems are added, the possibilities are endless. Ballistic masks can take vision enhancements as well as any modification a helmet can take.","Increase Social Limit by 1 for Intimidation Tests, Customized (increase the Social Limit by a total of 2, +150)",SR5:R&G,,
299,Cloak,Universal,-,1,(Rating),"(Rating) x 100¥","From a simple poncho treated to resist Seattle’s acid rain to a stylish cloak to accent your evening wear, all sort of variations can be found in the Sixth World. While offering no inherent armor bonus, cloaks are capable of accepting armor modifications: 100¥ per point of Rating (maximum 6). Wearers suffer a -1 Social Limit modifer when wearing a cloak. Designer cloaks can be purchased which match popular high fashion outfits for an additional 300¥, an absolute must if you want to avoid a fashion faux pas (they remove the Social Limit penalty). Cloaks provide a 2 Concealability modifier to items completely hidden underneath.",,SR5:HT,,
300,"Ruthenium Polymer Cloak",Universal,-,14F,-,"(Rating) x 4,000¥","A hooded cloak infused with ruthenium polymer fibers. Originally developed for military snipers and spotters who needed to remain concealed and stationary for an extended period of time. The sensor suite that replicates the surroundings has difficulty adapting to the rippling of the cloak while the wearer is in motion. Because of this, the cloak is not as effective while moving as RP modified armor, but it is still fully effective standing still. These cloaks are also sometimes used to conceal small, strategically important objects. The base modifier to a Perception Test to spot the wearer is -(Rating + 2) while stationary and -(Rating - 1) while moving. Maximum rating 4. (That is right, a Rating 1 RP cloak offers no benefit while moving. You just look like you are wearing a poncho made of static. Which may be fashionable in some places, as there is no accounting for Sixth World taste.) An RP cloak has no capacity for any additional armor modifications.",,SR5:HT,,
301,"Ghillie Suit",Universal,4,6,4,600¥,"On the shelf it just looks like a colored netting, but out in the field these suits are the height of simpletech camouflage. They come in styles for all major environments and have even released an urban blight style that helps the wearer hide out in trash filled alleys and the rubble of crumbling buildings. Great for runners and the homeless alike.",Restrictive,SR5:R&G,"When hiding in a location for which the suit is customized, a ghillie suit provides a –6 dice pool modifier to Perception Tests to spot the camouflaged character as long as he remains immobile; if the character is moving, reduce the modifier to –2.","Um … you draw in curious Hackers?"
302,"Ares Armored Survivalist",Universal,8,10,6,"1,500¥","Designed to protect from rain and raining lead, this suit is designed for hunters who think they might become the hunted. Originally built off designs for Ares’ various security firms that work in hostile environments, these suits come with a wide array of options, but they leave fashion to the shops in Paris.","Custom Protection (4), decrease Social Limit by 1",SR5:R&G,,"+1 on all Survival Tests in appropriate Custom Protection terrain."
303,"Desert Suit",Heat,3,8,2,"1,000¥","The sealed suit keeps the wearer protected from sand and helps cool the body through heat dissipation while the reflective outer surface protects from the sun’s heat. You need to wear it all—the hood, facemask, and skin-tight suit—for it to be effective. The facemask has a polarizing eye shield to neutralize glare. The suit even captures and distills some of the wearer’s body fluids, holding the water in pockets to be drunk with a straw.","Custom Fit, Flare Compensation",SR5:R&G,"Desert suits cannot be worn with armor or anything but loose, non-restrictive clothing, as it impedes the suit’s heat sinks from working properly. A character wearing a desert suit receives an additional +2 dice pool modifier to desert Survival Tests (see p. 136, SR5).","+1 on all Survival Tests in hot terrain"
304,"Snake Mesh Socks",Heat,2,6,-,50¥,"These fashionably disastrous knee-length socks are designed to prevent the penetration of a snake’s fangs. They aren’t the most comfortable socks in the world, but they’ll keep you from finding out what rattlesnake venom feels like in your blood.",,SR5:R&G,"These socks provide +2 Armor to attacks directed at the feet and lower legs.",
305,Coldsuit,Cold,—,4,4,800¥,"A form-fitting, layered bodysuit designed to keep the wearer toasty and dry, this suit has three layers: an inner layer that transfers moisture away from the skin, a middle insulating layer, and an outer waterproof and windproof shell. The full suit also includes heated boots, a hood, and a facemask with polarizing lenses. Flexible gloves keep the fingers toasty while still allowing for maximum manual dexterity.","Custom Protection (Insulation 4), Flare Compensation",SR5:R&G,"External armor can be layered over the suit, though at the risk of overheating the wearer. Armor over these suits increases the risk of Cold Fatigue damage and incurs a dice pool penalty of –2 on the character due to the difficulty of moving with the layers.","+1 on all Survival Tests in cold terrain."
306,"Polar Survival Suit",Cold,6,8,6,"2,000¥","This is the serious upgrade from the standard coldsuit. It’s bulky, but all that added bulk offers several extremely useful features. Inside there’s a layer that works like a drysuit and integrates the water reclamation system similar to the desert suit. The parka piece can be extended into a cold-weather sleeping bag and provides flotation as well as integrating a nice thermal dampening suite. It’s got gloves and boots with retractable climbing claws, though they are a bit bulky. The suit provides facial protection with a full-face mask, complete with a no-fog, polarized lens and a heater to make breathing easier.","Custom Protection (Insulation 6, Thermal Damping 4), Flare Compensation",SR5:R&G,"Retractable climbing claws (+1 dice pool modifier to Climbing Test; Attack: DV (STR+1)P, AP —). The suit can be outfitted to include any of modifications available to armor. It cannot be worn with any other armor.","Increase Physical Limit by 1 for Climbing Tests."
307,"Ares Arctic Forces Suit",Cold,15,16R,14,"11,000¥","Leave it to Ares to design a suit that keeps out the cold wind and cold steel. Built from a combination of SWAT armor and the polar survival suit, it provides the same inner drysuit but alters the parka with armor and handy access tabs. The boots and gloves both have the retractable climbing claws but are made of a thinner, more trigger-friendly material. The helmet incorporates a full facemask that comes with a full AR suite, air warmer, and gas mask integrated into the design.","Custom Fit, Custom Protection (Insulation 5, Thermal Damping 3), Flare Compensation, Gas Mask, Gear Access",SR5:R&G,"Retractable climbing claws (+1 dice pool modifier to Climbing Test; DV (STR)P, AP —)","Increase Physical Limit for Climbing Tests by 1."
308,"Ares Armored Coldsuit",Cold,9,6,6,"1,200¥","Tougher than a coldsuit but not up to the Arctic Forces level of protection, this is the standard for security at all bases in cold-weather environments. It’s got all the same standard features as the regular coldsuit, but it adds on some armor for protection for those times when lead joins in the flying snow.","Custom Fit, Custom Protection (Insulation 4), Flare Compensation, Restrictive",SR5:R&G,"–2 dice pool penalty on all Fatigue Tests","Fatigue dice pool penalty decreases to –1."
309,"Ares Polar Sneak Suit",Cold,6,16F,4,"10,000¥","This Ares creation takes the polar survival suit and slips in some ruthenium polymer technology in the form of chameleon coating. A deadly combination that blends the wearer completely into their surroundings.","Custom Fit, Flare Compensation, Ruthenium Polymer Coating (Rating 3)",SR5:R&G,"Modifications are limited and cannot affect the ruthenium polymer coating. What affects the coating is up to the gamemaster’s discretion.",
310,"Enclosed Breathing Helmet",Aquatic,—,8,6,900¥,"This diving helmet is designed for commercial divers who require unrestricted verbal communication to perform their jobs or runners who want to talk to coordinate their operations, all of whom are forced to rely on twentieth-century tech (by contrast, trodes could make communication mental while not leaving the user’s head inside a fragile gas-filled bubble). Hoses on the back of the helmet connect into an air-supply tank, or a variable gas mix for deep operations. Speakers and audio pickups built onto the outside allow communication even when signals are too weak due to water and distance. Most helmets include a headlamp and low-light vision enhancements as well as internal and external connections needed for data transfers.","Halogen headlamp, external speakers, dataport, low-light vision modification",SR5:R&G,,"Transmits environmental information."
311,"Full Face Mask",Aquatic,—,8,4,300¥,"The shallow-dive little brother of the breathing helmet, this piece of gear offers accessory plugs for communication systems, voice microphones, or other add-ons in addition to the dual hoses for air from a tank. Though unwieldy, the full face mask also doubles as protection against gas attacks.","Gas mask",SR5:R&G,,"Transmits environmental information."
312,Drysuit,Aquatic,—,6,4,"2,500¥","Drysuits enclose the diver in a sheath of air, sandwiched between an outer layer keeping out the water and an inner layer snug against the skin. Because drysuits work even more effectively in heat insulation than wetsuits, divers use them for dives in Arctic waters or for dives greater than 200 meters that would last extended periods of time.","Drysuits feature a Chemical Seal (with the hood up and face mask attached), Custom Protection (Insulation 4)",SR5:R&G,,"Transmits environmental information."
313,"Diving Armor",Aquatic,7,6,4,"1,750¥","Looks like a wetsuit, protects like armored underwear.","Custom Protection (Chemical Protection 4), –2 dice pool penalty to Swimming Tests",SR5:R&G,,"Transmits environmental information; Swimming Test penalty is only –1."
314,"Arctic Diving Suit",Aquatic,1,8,4,"3,000¥","This stuff takes drysuit tech to the next level. Intended to be used in the freezing waters of the Arctic and Antarctic, this suit adds a nanotech heater under the inner layer to keep the skin warm.","Custom Protection (Insulation 8, in water only)",SR5:R&G,"The suit will keep the diver warm for a forty-five-minute dive before any tests need to be made. It has to be recharged in between dives; charging takes two hours.","Extend the warm diver time to 1 hour"
315,"Evo HEL Suit",Space,8,10,5,"3,000¥","The HEL (Hostile Environment Living) is the everyday dress of space-station inhabitants and astronauts. The thin, tight-fitting, puncture- and-tear-resistant suit covers the whole body except the face, which can be protected by a hood and self-attaching breath and eye mask with an internal five-minute supply of highly compressed air that is usually carried within one of the suit’s many pouches. The suit is made of some of the most advanced clothing materials available, offering limited vacuum protection, as well as protection from hot or cold environments and chemicals. Due to its many useful traits and high comfort, the suit has become increasingly popular with people working in uncomfortable earthbound surroundings as well (at least those for whom the suit’s high price is no obstacle).","Custom Protection (Insulation 4, Fire Resistance 2, Radiation Shield 3, Chemical Protection 2), Custom Fit, Gas Mask",SR5:R&G,,"Records and transmits environmental information."
316,Spacesuit,Space,12,16,6,"12,000¥","If you need one of these, you best know all the specs of the suit and then some, but they tend to design these suits with the lowest common denominator in mind. I carry basic models from all the major manufacturers, each with a basic list of features that align pretty well with each other—generally a life-support system, biomonitor, commlink, standard polarized face shield, and a liquid canteen built in for hydration during standard operations. Don’t get in a tussle in one of these—any damage will threaten the integrity of the suit and result in the death of the user shortly after they hit the vacuum of space.","Biomonitor, Commlink (Device Rating 3), Custom Fit, Custom Protection (Chemical Seal, Insulation 6, Thermal Damping 4), Flare Compensation",SR5:R&G,"Spacesuits require an Agility + Reaction (12, 1 minute) Extended Test to put on. Due to the potentially lethal hazard caused by a mistake in putting on a suit, they come with alarms and warning systems. Glitches cost time or have some other non-lethal effect, while critical glitches can be life-threatening but should not result in the instant death of the vacuum of space. The spacesuit’s builtin oxygen upply lasts for twelve hours. The power supply lasts for twenty-four hours before it needs recharging. Spacesuits require one hour of maintenance for every twelve hours of use. If a spacesuit doesn’t get this maintenance, roll 1D6 each time it is used. On a roll of 1, the suit develops a potentially fatal failure: a cracked seal, an air leak, temperature or power failure, etc. Increase the likelihood of a failure by 1 for every additional 12 hours of use without maintenance (the suit fails on a 1D6 roll of 1 or 2 after 24 hours, and so on). Spacesuits come equipped with five emergency slap patches (additional patches cost 50¥ each). No other armor can be worn with a spacesuit, but the suits can be equipped with armor add-ons and modifications.","Records and transmits environmental information."
317,"Security Spacesuit",Space,15,24,10,"25,000¥","A standard spacesuit for use by security personnel or runners looking to test whether it really is such a bad idea to get into a fight in space.","As spacesuit",SR5:R&G,,"Records and transmits environmental information."
318,"Evo Armadillo Armored Spacesuit",Space,16,24R,10,"35,000¥","This one is kind of neat. With rumors of alien life on Mars, Evo made this little contribution to the SRS (Space Rescue Service). It’s like the security spacesuit, but Evo added an exo-frame and servo motors. It’s also got extra shielding against radiation and electrostatic discharges, which can be dangerous on the surface of Mars. The Armadillo also offers additional protection from suit breaches, thanks to Evo’s BreachBuster™ technology. I’ve also got the new scaled-down version, which is offered to the general public—or at least the part of the general public that can afford to drop tens of thousands of nuyen on a suit for a place only a few metahumans will ever go.","Custom Fit, Custom Protection (Chemical Seal, Fire Resistance 4, Insulation 6, Thermal Damping 4), Enhanced Strength (+2 Strength for Climbing or Lifting, but not on Attack Damage)",SR5:R&G,"As Spacesuit. Self-sealing system prevents one breach (the suit automatically reseals if a breach occurs, but only once). Post-operation repairs requires a Logic + Armorer [Mental] (6, 1 hour) Extended Test.","Records and transmits environmental information."
319,"Magnetic Boots",Space,—,12,4,"2,500¥","In places that lack gravity, sometimes it’s nice to just be able to stick to one place or walk around without using your hands. Magnetic boots are the answer. A combination of electromagnets and tiny suction cups make adhesion to virtually any surface possible.","Custom Fit",SR5:R&G,"Movement in these boots is limited to 1/4 of normal movement rate, with no Sprint Tests allowed. Climbing Tests receive +3 for wearers of these boots, but climbing takes place at half the normal pace.",
320,"Survival Bubble",Space,4,"Rating x 3",4,"2,000¥","This self-inflating mylar bubble is designed for escape and survival in the case of emergency decompression. Or for rich people to entertain themselves rolling down hills, or floating in the ocean. None of those uses are the intended purpose for this thing, but if you’re creative you can find other uses, even ones that take place on terra firma.",,SR5:R&G,"The bubble takes one Combat Turn to inflate around the user(s). The sphere features transparent windows, an airlock, 24 hours of oxygen per person each point of Rating (meaning a Rating 2 bubble can provide either 24 hours of oxygen for two people or 48 hours of oxygen for one person), emergency food and water rations, a homing beacon (100 kilometer range), and a medkit (Rating 4). The Rating of the bubble is how many people it will hold (maximum 6).","The homing beacon transmits supply levels to rescue personnel."
321,"MCT EE Suit",Space,6,10,5,"2,500¥","While Evo has focused on spacesuit design due to their extraterrestrial intentions, Mitsuhama has been designing ways to protect themselves from the messes they keep leaving all over the planet. This is one such effort—it’s a full-body, extreme-environment suit from Mitsuhama and it’s worn by those who deal directly with hazardous materials/environments, especially chemical and biological agents or radiation.","Custom Protection (Chemical Seal, Fire Resistance 4, Radiation Shielding 6).",SR5:R&G,,"Record and transmits environmental information"
